BowlerName,TeamName,Matches,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Year
Kieron Pollard,Mumbai Indians,11,125,21,66.0,31.25,21.0,60.8,5.25,8.92,14.0,3.0,0.0,4,0,0,0,,2022
Harpreet Brar,Punjab Kings,5,146,38,62.0,36.5,24.0,65.75,5.05,9.12,16.0,4.0,0.0,4,0,0,0,,2022
Shahbaz Ahmed,Royal Challengers Bangalore,16,336,58,162.0,84.0,52.5,61.3,5.0,9.6,35.0,9.0,1.0,4,0,0,0,,2022
Marcus Stoinis,Lucknow Super Giants,11,79,13,31.0,19.75,10.5,68.35,3.81,11.28,7.0,2.0,0.0,4,0,0,0,,2022
Pradeep Sangwan,Gujarat Titans,3,65,22,34.0,21.66,18.0,55.38,6.0,7.22,9.0,2.0,0.0,3,0,0,0,,2022
Chetan Sakariya,Delhi Capitals,3,84,21,50.0,28.0,22.0,45.23,8.25,7.63,11.0,5.0,0.0,3,0,0,0,,2022
Nathan Ellis,Punjab Kings,2,55,16,24.0,18.33,12.0,69.09,4.5,9.16,6.0,3.0,1.0,3,0,0,0,,2022
Vaibhav Arora,Punjab Kings,5,164,39,71.0,54.66,35.66,70.73,4.11,9.19,17.5,3.0,0.0,3,0,0,0,,2022
Romario Shepherd,Sunrisers Hyderabad,3,98,23,34.0,32.66,18.0,75.51,3.6,10.88,9.0,3.0,0.0,3,0,0,0,,2022
Navdeep Saini,Rajasthan Royals,2,72,10,29.0,24.0,12.0,69.44,3.27,12.0,6.0,2.0,1.0,3,0,0,0,,2022
Ayush Badoni,Lucknow Super Giants,13,11,4,8.0,5.5,6.0,0.0,0.0,5.5,2.0,0.0,0.0,2,0,0,0,,2022
Prashant Solanki,Chennai Super Kings,2,38,12,24.0,19.0,18.0,42.1,12.0,6.33,6.0,0.0,0.0,2,0,0,0,,2022
Matheesha Pathirana,Chennai Super Kings,2,52,20,28.0,26.0,20.5,53.84,5.85,7.6,6.5,7.0,0.0,2,0,0,0,,2022
Sandeep Sharma,Punjab Kings,5,153,60,66.0,76.5,60.0,70.58,5.0,7.65,20.0,6.0,0.0,2,0,0,0,,2022
Hrithik Shokeen,Mumbai Indians,5,127,43,51.0,63.5,45.0,69.29,5.29,8.46,15.0,4.0,0.0,2,0,0,0,,2022
Fazalhaq Farooqi,Sunrisers Hyderabad,3,110,24,52.0,55.0,36.0,58.18,5.14,9.16,12.0,4.0,0.0,2,0,0,0,,2022
Andrew Tye,Lucknow Super Giants,3,107,24,45.0,53.5,33.0,74.76,3.66,9.72,11.0,3.0,0.0,2,0,0,0,,2022
Varun Aaron,Gujarat Titans,2,52,7,26.0,26.0,15.0,65.38,3.75,10.4,5.0,3.0,0.0,2,0,0,0,,2022
Chris Jordan,Chennai Super Kings,4,135,23,57.0,67.5,38.5,63.7,4.27,10.51,12.5,1.0,2.0,2,0,0,0,,2022
Darshan Nalkande,Gujarat Titans,2,59,8,25.0,29.5,15.5,64.4,3.87,11.41,5.1,2.0,0.0,2,0,0,0,,2022
David Willey,Royal Challengers Bangalore,4,72,27,39.0,72.0,66.0,50.0,8.25,6.54,11.0,0.0,0.0,1,0,0,0,,2022
Anukul Roy,Kolkata Knight Riders,2,55,11,31.0,55.0,42.0,47.27,8.4,7.85,7.0,0.0,0.0,1,0,0,0,,2022
Mayank Markande,Mumbai Indians,2,57,11,31.0,57.0,42.0,56.14,6.0,8.14,7.0,0.0,0.0,1,0,0,0,,2022
Tushar Deshpande,Chennai Super Kings,2,63,18,25.0,63.0,42.0,79.36,3.5,9.0,7.0,1.0,0.0,1,0,0,0,,2022
Kartik Tyagi,Sunrisers Hyderabad,2,79,20,34.0,79.0,48.0,65.82,4.36,9.87,8.0,4.0,2.0,1,0,0,0,,2022
Harshit Rana,Kolkata Knight Riders,2,51,12,19.0,51.0,30.0,74.5,3.75,10.2,5.0,0.0,1.0,1,0,0,0,,2022
Aiden Markram,Sunrisers Hyderabad,14,64,8,28.0,64.0,36.0,68.75,4.5,10.66,6.0,0.0,0.0,1,0,0,0,,2022
Deepak Hooda,Lucknow Super Giants,15,43,5,19.0,43.0,24.0,69.76,4.0,10.75,4.0,0.0,0.0,1,0,0,0,,2022
Shreyas Gopal,Sunrisers Hyderabad,1,34,7,11.0,34.0,18.0,82.35,3.6,11.33,3.0,0.0,0.0,1,0,0,0,,2022
Fabian Allen,Mumbai Indians,1,46,6,18.0,46.0,24.0,73.91,3.42,11.5,4.0,0.0,0.0,1,0,0,0,,2022
Sean Abbott,Sunrisers Hyderabad,1,47,7,20.0,47.0,24.0,68.08,3.42,11.75,4.0,3.0,0.0,1,0,0,0,,2022
Riyan Parag,Rajasthan Royals,17,59,3,23.0,59.0,24.0,71.18,3.0,14.75,4.0,2.0,0.0,1,0,0,0,,2022
Dewald Brevis,Mumbai Indians,7,8,1,2.0,8.0,3.0,100.0,1.5,16.0,0.3,0.0,0.0,1,0,0,0,,2022
Mohammad Shami,Gujarat Titans,17,522,193,209.0,18.64,13.92,67.81,5.0,8.03,65.0,11.0,2.0,28,2,2,0,,2023
Mohit Sharma,Gujarat Titans,14,361,87,181.0,13.37,9.81,57.61,6.02,8.17,44.1,3.0,0.0,27,0,2,1,,2023
Rashid Khan,Gujarat Titans,17,552,134,273.0,20.44,14.88,57.24,6.09,8.23,67.0,5.0,0.0,27,0,1,0,,2023
Piyush Chawla,Mumbai Indians,16,495,121,250.0,22.5,16.63,57.77,5.9,8.11,61.0,5.0,0.0,22,0,0,0,,2023
Yuzvendra Chahal,Rajasthan Royals,14,432,97,229.0,20.57,15.09,49.53,6.89,8.17,52.5,9.0,0.0,21,0,3,0,,2023
Tushar Deshpande,Chennai Super Kings,16,564,137,230.0,26.85,16.23,69.5,4.05,9.92,56.5,23.0,4.0,21,0,0,0,,2023
Ravindra Jadeja,Chennai Super Kings,16,431,107,241.0,21.55,17.1,48.25,8.14,7.56,57.0,6.0,0.0,20,0,0,0,,2023
Varun Chakaravarthy,Kolkata Knight Riders,14,429,124,199.0,21.45,15.8,64.33,5.44,8.14,52.4,7.0,0.0,20,1,1,0,,2023
Mohammed Siraj,Royal Challengers Bangalore,14,376,161,168.0,19.78,15.78,69.14,5.08,7.52,50.0,27.0,2.0,19,0,1,0,,2023
Matheesha Pathirana,Chennai Super Kings,12,371,104,206.0,19.52,14.63,47.97,6.95,8.0,46.2,31.0,1.0,19,0,0,0,,2023
Arshdeep Singh,Punjab Kings,14,493,114,210.0,29.0,17.94,69.77,3.91,9.69,50.5,19.0,0.0,17,0,1,0,,2023
Ravi Bishnoi,Lucknow Super Giants,15,391,97,215.0,24.43,18.93,48.08,7.76,7.74,50.3,7.0,2.0,16,0,0,0,,2023
Noor Ahmad,Gujarat Titans,13,369,103,196.0,23.06,17.68,52.57,6.73,7.82,47.1,15.0,1.0,16,0,0,0,,2023
Bhuvneshwar Kumar,Sunrisers Hyderabad,14,425,128,191.0,26.56,19.12,63.52,4.93,8.33,51.0,13.0,0.0,16,1,0,1,,2023
Ravichandran Ashwin,Rajasthan Royals,13,368,90,219.0,26.28,21.0,44.56,8.64,7.51,49.0,15.0,0.0,14,0,0,0,,2023
Akash Madhwal,Mumbai Indians,8,219,53,107.0,15.64,10.92,53.88,6.12,8.58,25.3,2.0,5.0,14,0,1,1,,2023
Jason Behrendorff,Mumbai Indians,12,387,92,170.0,27.64,18.0,67.18,4.5,9.21,42.0,10.0,0.0,14,0,0,0,,2023
Harshal Patel,Royal Challengers Bangalore,13,454,87,214.0,32.42,20.14,60.35,4.86,9.65,47.0,15.0,5.0,14,0,0,0,,2023
Trent Boult,Rajasthan Royals,10,312,107,128.0,24.0,17.53,66.66,4.75,8.21,38.0,7.0,0.0,13,3,0,0,,2023
Deepak Chahar,Chennai Super Kings,10,297,82,133.0,22.84,15.69,63.97,4.85,8.73,34.0,11.0,0.0,13,0,0,0,,2023
Nathan Ellis,Punjab Kings,10,339,68,165.0,26.07,17.53,56.04,5.56,8.92,38.0,3.0,2.0,13,0,1,0,,2023
Yash Thakur,Lucknow Super Giants,9,289,70,137.0,22.23,14.69,59.51,5.45,9.07,31.5,14.0,2.0,13,0,1,0,,2023
Mayank Markande,Sunrisers Hyderabad,10,300,76,154.0,25.0,19.0,57.33,6.16,7.89,38.0,2.0,0.0,12,0,1,0,,2023
Mitchell Marsh,Delhi Capitals,9,170,36,96.0,14.16,10.08,47.05,7.56,8.42,20.1,10.0,1.0,12,1,1,0,,2023
Axar Patel,Delhi Capitals,14,338,105,183.0,30.72,25.63,53.84,7.42,7.19,47.0,6.0,0.0,11,0,0,0,,2023
Naveen-Ul-Haq,Lucknow Super Giants,8,219,68,106.0,19.9,15.27,55.7,6.46,7.82,28.0,5.0,2.0,11,0,1,0,,2023
Sunil Narine,Kolkata Knight Riders,14,383,87,209.0,34.81,26.18,50.65,7.02,7.97,48.0,8.0,0.0,11,0,0,0,,2023
Maheesh Theekshana,Chennai Super Kings,13,392,87,211.0,35.63,26.72,51.53,6.68,8.0,49.0,4.0,0.0,11,1,0,0,,2023
Mark Wood,Lucknow Super Giants,4,130,48,54.0,11.81,8.72,73.84,5.05,8.12,16.0,5.0,1.0,11,1,0,1,,2023
Kuldeep Yadav,Delhi Capitals,14,361,86,214.0,36.1,29.4,45.42,9.18,7.36,49.0,6.0,0.0,10,1,0,0,,2023
Suyash Sharma,Kolkata Knight Riders,11,321,83,156.0,32.1,23.4,62.3,5.57,8.23,39.0,4.0,1.0,10,0,0,0,,2023
Ishant Sharma,Delhi Capitals,8,206,69,88.0,20.6,15.0,66.99,4.54,8.24,25.0,6.0,1.0,10,0,0,0,,2023
Sandeep Sharma,Rajasthan Royals,12,396,95,195.0,39.6,27.6,60.1,5.2,8.6,46.0,10.0,4.0,10,0,0,0,,2023
Anrich Nortje,Delhi Capitals,10,364,96,155.0,36.4,24.0,64.28,4.8,9.1,40.0,8.0,3.0,10,0,0,0,,2023
T Natarajan,Sunrisers Hyderabad,12,410,75,201.0,41.0,27.0,58.53,5.09,9.11,45.0,6.0,0.0,10,0,0,0,,2023
Marco Jansen,Sunrisers Hyderabad,8,267,69,108.0,26.7,16.2,71.91,3.85,9.88,27.0,11.0,5.0,10,1,0,0,,2023
Sam Curran,Punjab Kings,14,489,85,214.0,48.9,28.7,66.66,4.04,10.22,47.5,11.0,1.0,10,0,0,0,,2023
Karn Sharma,Royal Challengers Bangalore,7,223,39,93.0,22.3,12.9,69.05,4.3,10.37,21.3,3.0,0.0,10,0,0,0,,2023
Krunal Pandya,Lucknow Super Giants,15,313,96,157.0,34.77,28.0,60.7,6.0,7.45,42.0,1.0,0.0,9,0,0,0,,2023
Moeen Ali,Chennai Super Kings,15,195,57,100.0,21.66,17.33,53.33,7.8,7.5,26.0,1.0,0.0,9,0,1,0,,2023
Harpreet Brar,Punjab Kings,13,218,58,108.0,24.22,18.11,57.79,5.82,8.02,27.1,3.0,0.0,9,0,1,0,,2023
Wanindu Hasaranga,Royal Challengers Bangalore,8,258,55,120.0,28.66,19.33,61.24,5.43,8.89,29.0,1.0,0.0,9,0,0,0,,2023
Khaleel Ahmed,Delhi Capitals,9,301,89,123.0,33.44,22.0,69.1,4.4,9.12,33.0,12.0,2.0,9,2,0,0,,2023
Wayne Parnell,Royal Challengers Bangalore,7,236,56,101.0,26.22,16.77,70.33,4.31,9.37,25.1,5.0,1.0,9,0,0,0,,2023
Vyshak Vijaykumar,Royal Challengers Bangalore,7,253,40,113.0,28.11,16.0,64.82,4.23,10.54,24.0,8.0,1.0,9,0,0,0,,2023
Rahul Chahar,Punjab Kings,14,385,96,205.0,48.12,37.25,52.98,6.62,7.75,49.4,3.0,0.0,8,0,0,0,,2023
Adam Zampa,Rajasthan Royals,6,188,40,93.0,23.5,16.5,57.44,5.73,8.54,22.0,1.0,0.0,8,0,0,0,,2023
Avesh Khan,Lucknow Super Giants,9,283,61,115.0,35.37,21.75,68.55,3.95,9.75,29.0,2.0,0.0,8,0,0,0,,2023
Amit Mishra,Lucknow Super Giants,7,149,32,83.0,21.28,16.28,51.0,7.12,7.84,19.0,1.0,0.0,7,0,0,0,,2023
Josh Little,Gujarat Titans,10,294,75,136.0,42.0,29.14,61.22,5.36,8.64,34.0,7.0,0.0,7,0,0,0,,2023
Alzarri Joseph,Gujarat Titans,7,225,57,93.0,32.14,20.57,66.66,4.96,9.37,24.0,6.0,0.0,7,0,0,0,,2023
Kagiso Rabada,Punjab Kings,6,232,62,84.0,33.14,19.71,78.44,3.72,10.08,23.0,6.0,3.0,7,0,0,0,,2023
Shardul Thakur,Kolkata Knight Riders,11,220,34,98.0,31.42,18.0,66.36,3.93,10.47,21.0,4.0,2.0,7,0,0,0,,2023
Mukesh Kumar,Delhi Capitals,10,326,65,132.0,46.57,26.57,70.55,3.87,10.51,31.0,10.0,1.0,7,0,0,0,,2023
Riley Meredith,Mumbai Indians,5,207,42,84.0,29.57,16.85,72.46,3.57,10.52,19.4,7.0,1.0,7,0,0,0,,2023
Andre Russell,Kolkata Knight Riders,14,172,32,67.0,24.57,13.0,69.76,3.5,11.34,15.1,5.0,3.0,7,0,0,0,,2023
Michael Bracewell,Royal Challengers Bangalore,5,95,26,40.0,15.83,11.0,67.36,5.07,8.63,11.0,0.0,0.0,6,0,0,0,,2023
Cameron Green,Mumbai Indians,16,361,88,151.0,60.16,38.0,67.59,4.47,9.5,38.0,10.0,1.0,6,0,0,0,,2023
Harshit Rana,Kolkata Knight Riders,6,147,50,58.0,29.4,20.4,72.1,4.43,8.64,17.0,5.0,1.0,5,0,0,0,,2023
Kumar Kartikeya Singh,Mumbai Indians,8,227,44,119.0,45.4,31.2,53.74,6.5,8.73,26.0,7.0,0.0,5,0,0,0,,2023
Vaibhav Arora,Kolkata Knight Riders,5,146,33,74.0,29.2,19.2,53.42,5.05,9.12,16.0,7.0,4.0,5,0,0,0,,2023
Marcus Stoinis,Lucknow Super Giants,15,100,23,46.0,20.0,13.0,62.0,5.0,9.23,10.5,4.0,0.0,5,0,0,0,,2023
Akash Singh,Chennai Super Kings,6,188,46,71.0,37.6,22.8,75.53,3.8,9.89,19.0,3.0,0.0,5,0,0,0,,2023
Umran Malik,Sunrisers Hyderabad,8,217,43,81.0,43.4,24.0,76.49,3.24,10.85,20.0,4.0,0.0,5,0,0,0,,2023
Arshad Khan,Mumbai Indians,6,190,27,70.0,38.0,17.0,77.89,2.65,13.41,14.1,12.0,0.0,5,0,0,0,,2023
Fazalhaq Farooqi,Sunrisers Hyderabad,4,117,34,52.0,29.25,20.0,61.53,4.44,8.77,13.2,6.0,0.0,4,0,0,0,,2023
Jason Holder,Rajasthan Royals,8,284,46,130.0,71.0,42.75,66.19,4.27,9.96,28.3,5.0,0.0,4,0,0,0,,2023
Mitchell Santner,Chennai Super Kings,3,81,22,50.0,27.0,24.0,46.91,8.0,6.75,12.0,0.0,0.0,3,0,0,0,,2023
David Willey,Royal Challengers Bangalore,4,105,37,57.0,35.0,30.0,55.23,6.92,7.0,15.0,4.0,0.0,3,1,0,0,,2023
Krishnappa Gowtham,Lucknow Super Giants,7,118,39,61.0,39.33,32.0,49.15,8.0,7.37,16.0,4.0,0.0,3,0,0,0,,2023
Anukul Roy,Kolkata Knight Riders,4,65,20,31.0,21.66,16.0,64.61,6.0,8.12,8.0,3.0,0.0,3,0,0,0,,2023
Washington Sundar,Sunrisers Hyderabad,7,146,35,71.0,48.66,35.33,57.53,5.88,8.26,17.4,0.0,0.0,3,0,0,0,,2023
Josh Hazlewood,Royal Challengers Bangalore,3,76,29,28.0,25.33,18.0,73.68,4.5,8.44,9.0,1.0,2.0,3,0,0,0,,2023
Nitish Rana,Kolkata Knight Riders,14,75,18,36.0,25.0,17.66,61.33,5.3,8.49,8.5,1.0,0.0,3,0,0,0,,2023
Yudhvir Singh,Lucknow Super Giants,3,70,25,25.0,23.33,16.0,80.0,3.69,8.75,8.0,2.0,0.0,3,0,0,0,,2023
Glenn Maxwell,Royal Challengers Bangalore,14,94,19,45.0,31.33,20.66,61.7,5.63,9.09,10.2,2.0,0.0,3,0,0,0,,2023
Hardik Pandya,Gujarat Titans,16,228,63,93.0,76.0,50.0,79.82,3.75,9.12,25.0,5.0,1.0,3,0,0,0,,2023
Arjun Tendulkar,Mumbai Indians,4,92,26,42.0,30.66,19.66,58.69,4.91,9.35,9.5,8.0,1.0,3,0,0,0,,2023
Hrithik Shokeen,Mumbai Indians,8,187,39,80.0,62.33,38.0,62.03,4.75,9.84,19.0,3.0,2.0,3,0,0,0,,2023
Asif K M,Rajasthan Royals,4,138,28,62.0,46.0,28.0,57.97,5.25,9.85,14.0,6.0,1.0,3,0,0,0,,2023
Sikandar Raza,Punjab Kings,7,119,20,55.0,39.66,24.0,63.86,4.23,9.91,12.0,3.0,1.0,3,0,0,0,,2023
Rajvardhan Hangargekar,Chennai Super Kings,2,60,14,29.0,20.0,12.0,60.0,4.5,10.0,6.0,6.0,1.0,3,0,0,0,,2023
Mohsin Khan,Lucknow Super Giants,5,107,23,41.0,35.66,20.0,76.63,3.52,10.7,10.0,4.0,0.0,3,0,0,0,,2023
Chris Jordan,Mumbai Indians,6,237,44,96.0,79.0,44.0,70.04,3.77,10.77,22.0,8.0,0.0,3,1,0,0,,2023
Chetan Sakariya,Delhi Capitals,2,89,17,38.0,29.66,16.0,67.41,4.0,11.12,8.0,6.0,1.0,3,0,0,0,,2023
Navdeep Saini,Rajasthan Royals,2,74,12,28.0,24.66,12.0,72.97,3.0,12.33,6.0,1.0,3.0,3,0,0,0,,2023
Adil Rashid,Sunrisers Hyderabad,2,56,14,28.0,28.0,21.0,53.57,7.0,8.0,7.0,0.0,0.0,2,0,0,0,,2023
Lalit Yadav,Delhi Capitals,6,118,24,58.0,59.0,39.0,61.01,5.57,9.07,13.0,4.0,0.0,2,0,0,0,,2023
Jofra Archer,Mumbai Indians,5,190,49,80.0,95.0,60.0,70.52,4.28,9.5,20.0,7.0,2.0,2,0,0,0,,2023
Kuldip Yadav,Rajasthan Royals,2,68,9,33.0,34.0,21.0,52.94,6.0,9.71,7.0,0.0,0.0,2,0,0,0,,2023
Abhishek Sharma,Sunrisers Hyderabad,11,124,23,52.0,62.0,36.0,69.35,4.23,10.33,12.0,3.0,0.0,2,0,0,0,,2023
Yash Dayal,Gujarat Titans,5,165,24,64.0,82.5,42.0,72.72,3.5,11.78,14.0,4.0,0.0,2,0,0,0,,2023
Tim Southee,Kolkata Knight Riders,2,79,12,24.0,39.5,18.0,78.48,2.76,13.16,6.0,0.0,0.0,2,0,0,0,,2023
Liam Livingstone,Punjab Kings,9,94,5,37.0,47.0,21.0,76.59,2.47,13.42,7.0,0.0,0.0,2,0,0,0,,2023
Kulwant Khejroliya,Kolkata Knight Riders,2,64,7,21.0,32.0,13.0,68.75,2.88,14.76,4.2,0.0,2.0,2,0,0,0,,2023
Praveen Dubey,Delhi Capitals,1,19,8,11.0,19.0,18.0,52.63,9.0,6.33,3.0,1.0,0.0,1,0,0,0,,2023
Glenn Phillips,Sunrisers Hyderabad,5,20,6,12.0,20.0,18.0,40.0,9.0,6.66,3.0,0.0,0.0,1,0,0,0,,2023
Tristan Stubbs,Mumbai Indians,2,14,3,9.0,14.0,12.0,42.85,12.0,7.0,2.0,0.0,0.0,1,0,0,0,,2023
Reece Topley,Royal Challengers Bangalore,1,14,7,5.0,14.0,12.0,85.71,4.0,7.0,2.0,0.0,0.0,1,0,0,0,,2023
Mayank Dagar,Sunrisers Hyderabad,3,83,22,44.0,83.0,66.0,55.42,6.6,7.54,11.0,0.0,0.0,1,0,0,0,,2023
Sisanda Magala,Chennai Super Kings,2,51,6,31.0,51.0,36.0,39.21,7.2,8.5,6.0,1.0,0.0,1,0,0,0,,2023
Rishi Dhawan,Punjab Kings,6,60,20,22.0,60.0,42.0,83.33,3.81,8.57,7.0,0.0,0.0,1,0,0,0,,2023
Aiden Markram,Sunrisers Hyderabad,13,70,12,37.0,70.0,49.0,54.28,5.44,8.57,8.1,0.0,0.0,1,0,0,0,,2023
Rovman Powell,Delhi Capitals,3,18,4,10.0,18.0,12.0,55.55,6.0,9.0,2.0,1.0,1.0,1,0,0,0,,2023
Umesh Yadav,Kolkata Knight Riders,8,189,42,74.0,189.0,114.0,73.01,3.93,9.94,19.0,2.0,0.0,1,0,0,0,,2023
Akeal Hosein,Sunrisers Hyderabad,1,40,6,18.0,40.0,24.0,70.0,4.0,10.0,4.0,0.0,0.0,1,0,0,0,,2023
Darshan Nalkande,Gujarat Titans,1,44,9,16.0,44.0,24.0,63.63,4.0,11.0,4.0,0.0,1.0,1,0,0,0,,2023
Mustafizur Rahman,Delhi Capitals,2,79,13,29.0,79.0,42.0,81.01,3.0,11.28,7.0,0.0,0.0,1,0,0,0,,2023
Akash Deep,Royal Challengers Bangalore,2,59,11,22.0,59.0,30.0,74.57,3.33,11.8,5.0,1.0,2.0,1,0,0,0,,2023
Lockie Ferguson,Kolkata Knight Riders,3,96,16,34.0,96.0,46.0,72.91,3.06,12.52,7.4,2.0,2.0,1,0,0,0,,2023
Duan Jansen,Mumbai Indians,1,53,6,22.0,53.0,24.0,67.92,3.42,13.25,4.0,4.0,0.0,1,0,0,0,,2023
Shahbaz Ahmed,Royal Challengers Bangalore,10,95,9,33.0,95.0,42.0,75.78,3.0,13.57,7.0,0.0,0.0,1,0,0,0,,2023
Kartik Tyagi,Sunrisers Hyderabad,3,92,10,34.0,92.0,37.0,76.08,2.31,14.91,6.1,3.0,4.0,1,0,0,0,,2023
Harshal Patel,Punjab Kings,14,477,85,232.0,19.87,12.25,58.7,4.81,9.73,49.0,21.0,2.0,24,0,0,0,,2024
Varun Chakaravarthy,Kolkata Knight Riders,15,402,125,183.0,19.14,14.28,62.68,6.0,8.04,50.0,7.0,2.0,21,0,0,0,,2024
Jasprit Bumrah,Mumbai Indians,13,336,149,179.0,16.8,15.55,53.57,7.77,6.48,51.5,13.0,4.0,20,0,0,1,,2024
T Natarajan,Sunrisers Hyderabad,14,465,112,220.0,24.47,16.21,62.36,4.81,9.05,51.2,24.0,0.0,19,1,1,0,,2024
Harshit Rana,Kolkata Knight Riders,13,383,95,169.0,20.15,13.31,65.79,4.86,9.08,42.1,11.0,0.0,19,1,0,0,,2024
Avesh Khan,Rajasthan Royals,16,526,101,245.0,27.68,17.31,62.73,4.63,9.59,54.5,16.0,1.0,19,0,0,0,,2024
Arshdeep Singh,Punjab Kings,14,505,114,212.0,26.57,15.89,69.3,3.92,10.03,50.2,24.0,0.0,19,0,1,0,,2024
Andre Russell,Kolkata Knight Riders,15,295,68,120.0,15.52,9.26,67.79,4.4,10.05,29.2,12.0,0.0,19,0,0,0,,2024
Pat Cummins,Sunrisers Hyderabad,16,566,125,250.0,31.44,20.33,66.78,4.4,9.27,61.0,9.0,0.0,18,1,0,0,,2024
Yuzvendra Chahal,Rajasthan Royals,15,546,100,262.0,30.33,19.33,58.6,5.35,9.41,58.0,13.0,1.0,18,0,0,0,,2024
Sunil Narine,Kolkata Knight Riders,15,368,127,207.0,21.64,19.41,47.28,9.42,6.69,55.0,4.0,0.0,17,0,0,0,,2024
Tushar Deshpande,Chennai Super Kings,13,424,118,192.0,24.94,16.94,64.15,4.96,8.83,48.0,20.0,2.0,17,0,1,0,,2024
Khaleel Ahmed,Delhi Capitals,14,479,130,194.0,28.17,17.64,71.39,4.05,9.58,50.0,23.0,1.0,17,2,0,0,,2024
Mukesh Kumar,Delhi Capitals,10,368,72,151.0,21.64,12.52,73.36,3.49,10.36,35.3,7.0,3.0,17,0,0,0,,2024
Mitchell Starc,Kolkata Knight Riders,14,444,105,162.0,26.11,14.76,77.02,3.39,10.61,41.5,16.0,0.0,17,0,1,0,,2024
Trent Boult,Rajasthan Royals,16,443,137,196.0,27.68,20.0,65.91,4.84,8.3,53.2,13.0,0.0,16,0,0,0,,2024
Kuldeep Yadav,Delhi Capitals,11,374,82,185.0,23.37,16.12,55.61,6.61,8.69,43.0,8.0,1.0,16,0,1,0,,2024
Sam Curran,Punjab Kings,13,416,84,170.0,26.0,15.37,71.15,3.84,10.14,41.0,7.0,1.0,16,0,0,0,,2024
Yash Dayal,Royal Challengers Bengaluru,14,459,122,199.0,30.6,20.06,67.1,4.3,9.14,50.1,18.0,3.0,15,0,0,0,,2024
Mohammed Siraj,Royal Challengers Bengaluru,14,496,129,221.0,33.06,21.6,66.93,4.56,9.18,54.0,26.0,0.0,15,0,0,0,,2024
Mustafizur Rahman,Chennai Super Kings,9,318,81,143.0,22.71,14.71,65.4,4.38,9.26,34.2,15.0,4.0,14,1,1,0,,2024
Naveen-Ul-Haq,Lucknow Super Giants,10,372,72,160.0,26.57,15.64,65.05,4.13,10.19,36.3,10.0,3.0,14,0,0,0,,2024
Matheesha Pathirana,Chennai Super Kings,6,169,54,91.0,13.0,10.15,50.88,6.94,7.68,22.0,13.0,0.0,13,0,1,0,,2024
Sandeep Sharma,Rajasthan Royals,11,311,75,161.0,23.92,17.53,55.94,5.84,8.18,38.0,8.0,0.0,13,0,0,1,,2024
Piyush Chawla,Mumbai Indians,11,312,65,150.0,24.0,16.15,58.33,6.0,8.91,35.0,5.0,0.0,13,0,0,0,,2024
Gerald Coetzee,Mumbai Indians,10,341,81,135.0,26.23,15.46,73.31,3.72,10.17,33.3,14.0,1.0,13,0,1,0,,2024
Mohit Sharma,Gujarat Titans,12,425,55,190.0,32.69,18.0,62.11,4.25,10.89,39.0,10.0,1.0,13,0,0,0,,2024
Axar Patel,Delhi Capitals,14,337,80,185.0,30.63,24.0,50.44,7.54,7.65,44.0,1.0,0.0,11,0,0,0,,2024
Kagiso Rabada,Punjab Kings,11,372,101,161.0,33.81,22.9,69.35,4.42,8.85,42.0,10.0,0.0,11,0,0,0,,2024
Vaibhav Arora,Kolkata Knight Riders,10,276,79,121.0,25.09,16.36,68.11,4.39,9.2,30.0,15.0,6.0,11,0,0,0,,2024
Bhuvneshwar Kumar,Sunrisers Hyderabad,16,533,136,221.0,48.45,31.09,73.17,3.93,9.35,57.0,14.0,1.0,11,2,0,0,,2024
Hardik Pandya,Mumbai Indians,14,387,65,161.0,35.18,19.63,65.63,4.07,10.75,36.0,10.0,0.0,11,0,0,0,,2024
Yash Thakur,Lucknow Super Giants,10,402,68,157.0,36.54,19.36,71.14,3.55,11.32,35.3,11.0,1.0,11,1,0,1,,2024
