StrikerName,TeamName,Matches,TotalRuns,Balls,Dotballs,StrikeRate,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year
Vijay Shankar,Gujarat Titans,7,83,72,23.0,115.27,7,2,5,2,16.60,0,0,17,2024
Harpreet Brar,Punjab Kings,13,75,54,19.0,138.88,8,2,2,5,37.50,0,0,29,2024
Dewald Brevis,Mumbai Indians,3,69,59,27.0,116.94,3,5,3,0,23.00,0,0,46,2024
Mayank Agarwal,Sunrisers Hyderabad,4,64,57,29.0,112.28,8,1,4,0,16.00,0,0,32,2024
Rahmanullah Gurbaz,Kolkata Knight Riders,3,62,46,26.0,134.78,7,4,2,0,31.00,0,0,39,2024
Mitchell Marsh,Delhi Capitals,4,61,38,19.0,160.52,9,3,4,0,15.25,0,0,23,2024
Atharva Taide,Punjab Kings,2,61,39,12.0,156.41,7,2,2,0,30.50,0,0,46,2024
Romario Shepherd,Mumbai Indians,6,57,21,4.0,271.42,5,5,2,3,28.50,0,0,39*,2024
Glenn Maxwell,Royal Challengers Bengaluru,10,52,43,21.0,120.93,6,2,9,0,5.78,0,0,28,2024
Sameer Rizwi,Chennai Super Kings,8,51,43,19.0,118.6,4,2,4,1,12.75,0,0,21,2024
Tom Kohler- Cadmore,Rajasthan Royals,4,48,54,33.0,88.88,7,1,3,0,16.00,0,0,20,2024
Kuldeep Yadav,Delhi Capitals,11,47,41,19.0,114.63,6,1,3,2,15.67,0,0,35*,2024
Sikandar Raza,Punjab Kings,2,43,38,16.0,113.15,2,2,2,0,21.50,0,0,28,2024
Manish Pandey,Kolkata Knight Riders,1,42,31,8.0,135.48,2,2,1,0,42.00,0,0,42,2024
Azmatullah Omarzai,Gujarat Titans,7,42,33,10.0,127.27,2,2,4,0,10.50,0,0,17,2024
Nitish Rana,Kolkata Knight Riders,2,42,34,14.0,123.52,5,1,2,0,21.00,0,0,33,2024
Devdutt Padikkal,Lucknow Super Giants,7,38,53,29.0,71.69,3,0,7,0,5.43,0,0,13,2024
Swapnil Singh,Royal Challengers Bengaluru,7,37,21,8.0,176.19,3,3,2,3,18.50,0,0,15*,2024
Mohammad Nabi,Mumbai Indians,7,35,31,13.0,112.9,2,2,4,1,8.75,0,0,23,2024
Shubham Dubey,Rajasthan Royals,4,33,19,5.0,173.68,3,2,2,1,16.50,0,0,25,2024
Karn Sharma,Royal Challengers Bengaluru,9,31,15,5.0,206.66,2,3,3,0,10.33,0,0,20,2024
Rasikh Salam,Delhi Capitals,8,28,30,14.0,93.33,4,0,4,0,7.00,0,0,10,2024
Kane Williamson,Gujarat Titans,2,27,27,15.0,100.0,4,0,2,0,13.50,0,0,26,2024
Harpreet Bhatia,Punjab Kings,2,27,34,16.0,79.41,2,0,2,0,13.50,0,0,14,2024
Suyash S Prabhudessai,Royal Challengers Bengaluru,1,24,18,8.0,133.33,3,0,1,0,24.00,0,0,24,2024
Jaydev Unadkat,Sunrisers Hyderabad,11,24,26,14.0,92.3,2,1,3,2,8.00,0,0,8*,2024
Tanush Kotian,Rajasthan Royals,1,24,31,17.0,77.41,3,0,1,0,24.00,0,0,24,2024
Bhuvneshwar Kumar,Sunrisers Hyderabad,16,23,29,18.0,79.31,3,0,3,2,7.67,0,0,13,2024
Yudhvir Singh,Lucknow Super Giants,2,21,14,7.0,150.0,1,2,2,0,10.50,0,0,14,2024
Rahul Chahar,Punjab Kings,9,21,15,8.0,140.0,3,1,1,1,21.00,0,0,16,2024
Shardul Thakur,Chennai Super Kings,9,21,17,7.0,123.52,2,1,1,2,21.00,0,0,17,2024
Ashton Turner,Lucknow Super Giants,2,21,18,7.0,116.66,0,2,2,0,10.50,0,0,16,2024
Kagiso Rabada,Punjab Kings,11,20,14,4.0,142.85,0,2,1,2,20.00,0,0,11*,2024
Gulbadin Naib,Delhi Capitals,2,19,15,4.0,126.66,1,1,1,0,19.00,0,0,19,2024
Marco Jansen,Sunrisers Hyderabad,3,18,13,4.0,138.46,1,1,1,1,18.00,0,0,17,2024
Saurav Chauhan,Royal Challengers Bengaluru,3,18,15,6.0,120.0,1,1,3,0,6.00,0,0,9,2024
Sumit Kumar,Delhi Capitals,4,18,24,17.0,75.0,2,1,2,1,9.00,0,0,9*,2024
Piyush Chawla,Mumbai Indians,11,15,15,8.0,100.0,1,1,4,2,3.75,0,0,10,2024
Sanvir Singh,Sunrisers Hyderabad,4,14,12,2.0,116.66,1,0,1,2,14.00,0,0,8*,2024
Trent Boult,Rajasthan Royals,16,14,16,9.0,87.5,2,0,2,3,7.00,0,0,12,2024
Mitchell Santner,Chennai Super Kings,3,14,17,6.0,82.35,1,0,3,0,4.67,0,0,11,2024
Gerald Coetzee,Mumbai Indians,10,14,22,13.0,63.63,0,1,4,1,3.50,0,0,8,2024
Sai Kishore,Gujarat Titans,5,13,6,3.0,216.66,0,2,1,1,13.00,0,0,13,2024
Harshal Patel,Punjab Kings,14,13,19,14.0,68.42,1,1,3,1,4.33,0,0,12,2024
Mohammed Siraj,Royal Challengers Bengaluru,14,12,8,6.0,150.0,0,2,2,1,6.00,0,0,12,2024
Darshan Nalkande,Gujarat Titans,3,12,11,4.0,109.09,0,1,1,0,12.00,0,0,12,2024
Jasprit Bumrah,Mumbai Indians,13,12,12,4.0,100.0,1,0,0,4,-,0,0,8*,2024
Umesh Yadav,Gujarat Titans,7,12,15,8.0,80.0,0,1,1,1,12.00,0,0,10*,2024
Avesh Khan,Rajasthan Royals,16,10,5,0.0,200.0,1,0,0,3,-,0,0,7*,2024
Lalit Yadav,Delhi Capitals,2,10,12,6.0,83.33,1,0,2,0,5.00,0,0,7,2024
Luke Wood,Mumbai Indians,2,9,3,0.0,300.0,0,1,0,1,-,0,0,9*,2024
Arshin Atul Kulkarni,Lucknow Super Giants,2,9,8,5.0,112.5,2,0,2,0,4.50,0,0,9,2024
Mitchell Starc,Kolkata Knight Riders,14,9,11,5.0,81.81,1,0,2,3,4.50,0,0,6*,2024
Abhinav Manohar,Gujarat Titans,2,9,16,11.0,56.25,1,0,2,0,4.50,0,0,8,2024
Donovan Ferreira,Rajasthan Royals,2,8,11,5.0,72.72,0,0,2,0,4.00,0,0,7,2024
Vijayakanth Viyaskanth,Sunrisers Hyderabad,3,7,5,0.0,140.0,0,0,0,1,-,0,0,7*,2024
Spencer Johnson,Gujarat Titans,5,6,7,4.0,85.71,1,0,0,3,-,0,0,5*,2024
Anmolpreet Singh,Sunrisers Hyderabad,2,5,6,4.0,83.33,1,0,2,0,2.50,0,0,5,2024
Noor Ahmad,Gujarat Titans,10,5,9,7.0,55.55,1,0,2,2,2.50,0,0,4,2024
Arshdeep Singh,Punjab Kings,14,4,3,2.0,133.33,1,0,1,0,4.00,0,0,4,2024
Akash Madhwal,Mumbai Indians,5,4,5,2.0,80.0,0,0,0,1,-,0,0,4*,2024
Matthew Wade,Gujarat Titans,2,4,6,2.0,66.66,0,0,1,0,4.00,0,0,4,2024
Ravi Bishnoi,Lucknow Super Giants,14,4,6,2.0,66.66,0,0,3,0,1.33,0,0,2,2024
Anrich Nortje,Delhi Capitals,6,4,8,5.0,50.0,0,0,2,0,2.00,0,0,4,2024
Mohit Sharma,Gujarat Titans,12,4,15,12.0,26.66,0,0,2,1,2.00,0,0,4,2024
Anukul Roy,Kolkata Knight Riders,4,3,3,1.0,100.0,0,0,0,1,-,0,0,3*,2024
Reece Topley,Royal Challengers Bengaluru,4,3,6,3.0,50.0,0,0,0,1,-,0,0,3*,2024
Kumar Kushagra,Delhi Capitals,4,3,7,5.0,42.85,0,0,3,0,1.00,0,0,2,2024
Mukesh Kumar,Delhi Capitals,10,3,9,6.0,33.33,0,0,1,1,3.00,0,0,3,2024
Ricky Bhui,Delhi Capitals,2,3,9,6.0,33.33,0,0,2,0,1.50,0,0,3,2024
Mohsin Khan,Lucknow Super Giants,9,2,1,0.0,200.0,0,0,1,0,2.00,0,0,2,2024
Richard Gleeson,Chennai Super Kings,2,2,2,1.0,100.0,0,0,0,1,-,0,0,2*,2024
Jhye Richardson,Delhi Capitals,1,2,2,1.0,100.0,0,0,1,0,2.00,0,0,2,2024
Anshul Kamboj,Mumbai Indians,3,2,2,0.0,100.0,0,0,0,1,-,0,0,2*,2024
Akash Deep,Royal Challengers Bengaluru,1,2,2,0.0,100.0,0,0,0,1,-,0,0,2*,2024
Shivam Singh,Punjab Kings,1,2,3,1.0,66.66,0,0,0,1,-,0,0,2*,2024
Naveen-Ul-Haq,Lucknow Super Giants,10,2,4,3.0,50.0,0,0,0,3,-,0,0,2*,2024
B R Sharath,Gujarat Titans,1,2,5,3.0,40.0,0,0,1,0,2.00,0,0,2,2024
Vaibhav Arora,Kolkata Knight Riders,10,1,1,0.0,100.0,0,0,0,2,-,0,0,1*,2024
Shams Mulani,Mumbai Indians,2,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2024
Lockie Ferguson,Royal Challengers Bengaluru,7,1,1,0.0,100.0,0,0,1,0,1.00,0,0,1,2024
Lizaad Williams,Delhi Capitals,2,1,2,1.0,50.0,0,0,0,1,-,0,0,1*,2024
Keshav Maharaj,Rajasthan Royals,2,1,2,1.0,50.0,0,0,1,0,1.00,0,0,1,2024
Manav Suthar,Gujarat Titans,1,1,2,1.0,50.0,0,0,1,0,1.00,0,0,1,2024
Vyshak Vijaykumar,Royal Challengers Bengaluru,4,1,3,2.0,33.33,0,0,1,1,1.00,0,0,1*,2024
Ishant Sharma,Delhi Capitals,9,1,7,6.0,14.28,0,0,0,2,-,0,0,1*,2024
Sai Sudharsan,Gujarat Titans,15,759,486,133.0,156.17,88,21,14,1,54.21,6,1,108*,2025
Surya Kumar Yadav,Mumbai Indians,16,717,427,132.0,167.91,69,38,11,5,65.18,5,0,73*,2025
Shubman Gill,Gujarat Titans,15,650,417,111.0,155.87,62,24,13,2,50.00,6,0,93*,2025
Mitchell Marsh,Lucknow Super Giants,13,627,383,130.0,163.7,56,37,13,0,48.23,6,1,117,2025
Virat Kohli,Royal Challengers Bengaluru,14,614,419,117.0,146.53,63,19,11,3,55.82,8,0,73*,2025
Shreyas Iyer,Punjab Kings,16,603,343,86.0,175.8,43,39,11,5,54.82,6,0,97*,2025
Yashasvi Jaiswal,Rajasthan Royals,14,559,350,125.0,159.71,60,28,13,1,43.00,6,0,75,2025
K L Rahul,Delhi Capitals,13,539,360,105.0,149.72,52,21,10,3,53.90,3,1,112*,2025
Jos Buttler,Gujarat Titans,14,538,330,93.0,163.03,52,24,9,4,59.78,5,0,97*,2025
Nicholas Pooran,Lucknow Super Giants,14,524,267,88.0,196.25,45,40,12,2,43.67,5,0,87*,2025
Prabhsimran Singh,Punjab Kings,16,523,320,114.0,163.43,56,28,16,0,32.69,4,0,91,2025
Heinrich Klaasen,Sunrisers Hyderabad,13,487,282,64.0,172.69,42,25,11,2,44.27,1,1,105*,2025
Priyansh Arya,Punjab Kings,16,451,246,89.0,183.33,51,25,16,0,28.19,2,1,103,2025
Aiden Markram,Lucknow Super Giants,13,445,299,100.0,148.82,38,22,13,0,34.23,5,0,66,2025
Abhishek Sharma,Sunrisers Hyderabad,14,439,227,80.0,193.39,46,28,13,0,33.77,2,1,141,2025
Rohit Sharma,Mumbai Indians,15,418,280,106.0,149.28,41,22,14,1,29.86,4,0,81,2025
Riyan Parag,Rajasthan Royals,14,393,236,74.0,166.52,27,27,12,2,32.75,1,0,95,2025
Ajinkya Rahane,Kolkata Knight Riders,13,390,264,99.0,147.72,36,20,11,1,35.45,3,0,61,2025
Ryan Rickelton,Mumbai Indians,14,388,257,107.0,150.97,47,17,13,1,29.85,3,0,62*,2025
Phil Salt,Royal Challengers Bengaluru,12,387,220,84.0,175.9,46,21,11,1,35.18,4,0,65,2025
Travis Head,Sunrisers Hyderabad,13,374,230,90.0,162.6,50,15,12,0,31.17,3,0,76,2025
Shivam Dube,Chennai Super Kings,14,357,270,95.0,132.22,22,21,11,3,32.45,1,0,50,2025
Ishan Kishan,Sunrisers Hyderabad,14,354,232,68.0,152.58,33,15,10,3,35.40,1,1,106*,2025
Nehal Wadhera,Punjab Kings,15,354,235,81.0,150.63,28,20,11,3,32.18,2,0,70,2025
N Tilak Varma,Mumbai Indians,16,343,248,76.0,138.3,23,16,11,2,31.18,2,0,59,2025
Dhruv Jurel,Rajasthan Royals,14,333,213,68.0,156.33,22,22,9,4,37.00,2,0,70,2025
Ayush Badoni,Lucknow Super Giants,14,329,222,65.0,148.19,27,14,10,1,32.90,2,0,74,2025
Abishek Porel,Delhi Capitals,13,301,205,60.0,146.82,28,12,12,1,25.08,1,0,51,2025
Ravindra Jadeja,Chennai Super Kings,14,301,222,64.0,135.58,25,10,9,5,33.44,2,0,77*,2025
Tristan Stubbs,Delhi Capitals,14,300,199,41.0,150.75,25,11,6,7,50.00,0,0,41*,2025
Angkrish Raghuvanshi,Kolkata Knight Riders,12,300,215,59.0,139.53,30,8,9,2,33.33,1,0,50,2025
Sherfane Rutherford,Gujarat Titans,13,291,185,59.0,157.29,22,18,9,2,32.33,0,0,46,2025
Shashank Singh,Punjab Kings,16,289,198,50.0,145.95,20,12,7,6,41.29,2,0,59*,2025
Rajat Patidar,Royal Challengers Bengaluru,14,286,201,60.0,142.28,24,12,12,1,23.83,2,0,64,2025
Sanju Samson,Rajasthan Royals,9,285,203,72.0,140.39,27,13,8,1,35.63,1,0,66,2025
Rishabh Pant,Lucknow Super Giants,14,269,202,91.0,133.16,23,16,11,2,24.45,1,1,118*,2025
Axar Patel,Delhi Capitals,12,263,167,55.0,157.48,23,15,10,1,26.30,0,0,43,2025
Vaibhav Suryavanshi,Rajasthan Royals,7,252,122,46.0,206.55,18,24,7,0,36.00,1,1,101,2025
Naman Dhir,Mumbai Indians,16,252,138,35.0,182.6,24,13,8,4,31.50,0,0,46,2025
Devdutt Padikkal,Royal Challengers Bengaluru,10,247,164,59.0,150.6,21,14,9,1,27.44,2,0,61,2025
Sunil Narine,Kolkata Knight Riders,12,246,144,71.0,170.83,25,19,11,1,22.36,0,0,44,2025
Ayush Mhatre,Chennai Super Kings,7,240,127,41.0,188.97,31,11,7,0,34.29,1,0,94,2025
Josh Inglis,Punjab Kings,10,239,148,55.0,161.48,25,12,8,2,29.88,1,0,73,2025
Shimron Hetmyer,Rajasthan Royals,14,239,164,50.0,145.73,17,11,11,2,21.73,1,0,52,2025
Jitesh Sharma,Royal Challengers Bengaluru,14,237,138,48.0,171.73,22,15,6,4,39.50,1,0,85*,2025
Aniket Verma,Sunrisers Hyderabad,14,236,142,52.0,166.19,12,20,9,3,26.22,1,0,74,2025
Will Jacks,Mumbai Indians,13,233,172,64.0,135.46,22,11,10,1,23.30,1,0,53,2025
Dewald Brevis,Chennai Super Kings,6,225,125,33.0,180.0,13,17,6,0,37.50,2,0,57,2025
Hardik Pandya,Mumbai Indians,15,224,137,42.0,163.5,18,12,9,3,24.89,0,0,48*,2025
Nitish Rana,Rajasthan Royals,11,217,134,48.0,161.94,27,9,10,1,21.70,2,0,81,2025
Rinku Singh,Kolkata Knight Riders,13,206,134,47.0,153.73,20,10,7,4,29.43,0,0,38*,2025
Ashutosh Sharma,Delhi Capitals,13,204,127,38.0,160.62,14,13,7,2,29.14,1,0,66*,2025
Faf Du Plessis,Delhi Capitals,9,202,163,63.0,123.92,18,8,9,0,22.44,2,0,62,2025
Karun Nair,Delhi Capitals,8,198,115,42.0,172.17,24,10,8,0,24.75,1,0,89,2025
MS Dhoni,Chennai Super Kings,14,196,145,49.0,135.17,12,12,8,5,24.50,0,0,30*,2025
Rachin Ravindra,Chennai Super Kings,8,191,149,48.0,128.18,18,4,7,1,27.29,1,0,65*,2025
Tim David,Royal Challengers Bengaluru,12,187,101,38.0,185.14,16,14,3,6,62.33,1,0,50*,2025
Nitish Kumar Reddy,Sunrisers Hyderabad,13,182,153,51.0,118.95,16,4,8,3,22.75,0,0,32,2025
Shahrukh Khan,Gujarat Titans,15,179,100,26.0,179.0,11,13,6,5,29.83,1,0,57,2025
Andre Russell,Kolkata Knight Riders,13,167,102,53.0,163.72,16,14,9,1,18.56,1,0,57*,2025
Abdul Samad,Lucknow Super Giants,13,164,93,27.0,176.34,8,14,8,4,20.50,0,0,45,2025
Devon Conway,Chennai Super Kings,6,156,119,45.0,131.09,17,4,6,0,26.00,2,0,69,2025
Marcus Stoinis,Punjab Kings,12,154,84,30.0,183.33,8,14,5,5,30.80,0,0,44*,2025
David Miller,Lucknow Super Giants,11,153,120,36.0,127.5,13,4,5,6,30.60,0,0,27*,2025
Quinton De Kock,Kolkata Knight Riders,8,152,117,48.0,129.91,9,11,7,1,21.71,1,0,97*,2025
Vipraj Nigam,Delhi Capitals,14,142,79,27.0,179.74,15,8,7,1,20.29,0,0,39,2025
Venkatesh Iyer,Kolkata Knight Riders,11,142,102,38.0,139.21,15,4,7,0,20.29,1,0,60,2025
Washington Sundar,Gujarat Titans,6,133,80,19.0,166.25,10,7,5,0,26.60,0,0,49,2025
Ruturaj Gaikwad,Chennai Super Kings,5,122,81,30.0,150.61,14,4,5,0,24.40,2,0,63,2025
Sameer Rizvi,Delhi Capitals,5,121,79,27.0,153.16,11,7,3,1,40.33,1,0,58*,2025
Vijay Shankar,Chennai Super Kings,6,118,91,23.0,129.67,8,3,3,2,39.33,1,0,69*,2025
Sam Curran,Chennai Super Kings,5,114,84,28.0,135.71,11,4,5,0,22.80,1,0,88,2025
Shubham Dubey,Rajasthan Royals,9,106,66,22.0,160.6,6,8,4,4,26.50,0,0,34*,2025
Krunal Pandya,Royal Challengers Bengaluru,14,105,81,32.0,129.62,9,4,5,1,21.00,1,0,73*,2025
Rahul Tewatia,Gujarat Titans,15,99,59,18.0,167.79,6,7,8,4,12.38,0,0,24*,2025
Pat Cummins,Sunrisers Hyderabad,14,97,58,19.0,167.24,6,7,4,5,24.25,0,0,22*,2025
Manish Pandey,Kolkata Knight Riders,3,92,65,20.0,141.53,5,5,2,1,46.00,0,0,37,2025
Kamindu Mendis,Sunrisers Hyderabad,5,92,69,22.0,133.33,7,2,3,2,30.67,0,0,32*,2025
Liam Livingstone,Royal Challengers Bengaluru,9,87,69,32.0,126.08,4,7,6,1,14.50,1,0,54,2025
Jonny Bairstow,Mumbai Indians,2,85,46,14.0,184.78,7,5,2,0,42.50,0,0,47,2025
Marco Jansen,Punjab Kings,14,75,63,21.0,119.04,3,4,4,4,18.75,0,0,34*,2025
Rahmanullah Gurbaz,Kolkata Knight Riders,5,74,53,25.0,139.62,10,3,4,1,18.50,0,0,35,2025
Mayank Agarwal,Royal Challengers Bengaluru,3,71,46,10.0,154.34,8,1,2,1,35.50,0,0,41*,2025
Shaik Rasheed,Chennai Super Kings,5,71,63,34.0,112.69,9,2,5,0,14.20,0,0,27,2025
Urvil Patel,Chennai Super Kings,3,68,32,11.0,212.5,5,6,3,0,22.67,0,0,37,2025
Jacob Bethell,Royal Challengers Bengaluru,2,67,39,14.0,171.79,9,3,2,0,33.50,1,0,55,2025
Jofra Archer,Rajasthan Royals,12,63,50,20.0,126.0,3,4,6,1,10.50,0,0,30,2025
Abhinav Manohar,Sunrisers Hyderabad,8,61,61,29.0,100.0,2,4,5,0,12.20,0,0,43,2025
Harshit Rana,Kolkata Knight Riders,13,57,53,30.0,107.54,5,3,4,3,14.25,0,0,34,2025
Azmatullah Omarzai,Punjab Kings,8,56,39,16.0,143.58,6,3,3,1,18.67,0,0,21*,2025
Jake Fraser - McGurk,Delhi Capitals,6,55,52,31.0,105.76,7,2,6,0,9.17,0,0,38,2025
Rahul Tripathi,Chennai Super Kings,5,55,57,27.0,96.49,6,1,5,0,11.00,0,0,23,2025
Romario Shepherd,Royal Challengers Bengaluru,7,53,15,4.0,353.33,4,6,1,1,53.00,1,0,53*,2025
Glenn Maxwell,Punjab Kings,7,48,49,23.0,97.95,5,1,6,0,8.00,0,0,30,2025
Corbin Bosch,Mumbai Indians,2,47,32,12.0,146.87,3,3,2,0,23.50,0,0,27,2025
Ramandeep Singh,Kolkata Knight Riders,11,47,35,12.0,134.28,1,4,5,2,9.40,0,0,22,2025
Rashid Khan,Gujarat Titans,15,40,28,13.0,142.85,2,3,5,3,8.00,0,0,12,2025
Mitchell Santner,Mumbai Indians,13,40,33,15.0,121.21,2,3,2,6,20.00,0,0,18*,2025
Deepak Chahar,Mumbai Indians,14,37,25,9.0,148.0,3,2,1,3,37.00,0,0,28*,2025
Ravichandran Ashwin,Chennai Super Kings,9,33,30,13.0,110.0,3,1,4,0,8.25,0,0,13,2025
Deepak Hooda,Chennai Super Kings,7,31,41,24.0,75.6,2,1,5,0,6.20,0,0,22,2025
Mohd Arshad Khan,Gujarat Titans,9,23,19,11.0,121.05,0,3,2,3,11.50,0,0,20,2025
Sediqullah Atal,Delhi Capitals,1,22,16,6.0,137.5,0,2,1,0,22.00,0,0,22,2025
Avesh Khan,Lucknow Super Giants,13,21,12,6.0,175.0,3,1,1,3,21.00,0,0,19*,2025
Harshal Patel,Sunrisers Hyderabad,13,21,26,7.0,80.76,0,0,2,2,10.50,0,0,12*,2025
Kusal Mendis,Gujarat Titans,1,20,10,4.0,200.0,1,2,1,0,20.00,0,0,20,2025
Shardul Thakur,Lucknow Super Giants,10,18,12,5.0,150.0,3,0,3,2,6.00,0,0,6,2025
Kuldeep Yadav,Delhi Capitals,14,18,16,6.0,112.5,2,0,3,2,6.00,0,0,7,2025
Gerald Coetzee,Gujarat Titans,4,17,11,5.0,154.54,2,1,2,0,8.50,0,0,12,2025
Jamie Overton,Chennai Super Kings,3,15,7,2.0,214.28,1,1,0,2,-,0,0,11*,2025
Anshul Kamboj,Chennai Super Kings,8,14,12,6.0,116.66,2,0,2,3,7.00,0,0,5*,2025
Matthew Breetzke,Lucknow Super Giants,1,14,12,7.0,116.66,1,1,1,0,14.00,0,0,14,2025
Atharva Taide,Sunrisers Hyderabad,1,13,9,5.0,144.44,3,0,1,0,13.00,0,0,13,2025
Ravi Bishnoi,Lucknow Super Giants,11,13,16,13.0,81.25,0,2,2,1,6.50,0,0,13,2025
Bhuvneshwar Kumar,Royal Challengers Bengaluru,13,13,23,15.0,56.52,1,0,2,3,6.50,0,0,8,2025
Harpreet Brar,Punjab Kings,8,11,13,8.0,84.61,0,1,1,1,11.00,0,0,7*,2025
Xavier Bartlett,Punjab Kings,4,11,15,7.0,73.33,1,0,1,0,11.00,0,0,11,2025
Mohammad Shami,Sunrisers Hyderabad,9,10,10,4.0,100.0,1,0,1,3,10.00,0,0,6*,2025
Dushmantha Chameera,Delhi Capitals,6,10,14,4.0,71.42,0,0,0,3,-,0,0,8*,2025
Maheesh Theekshana,Rajasthan Royals,11,10,27,17.0,37.03,0,0,2,2,5.00,0,0,5,2025
Kagiso Rabada,Gujarat Titans,4,9,8,4.0,112.5,0,1,1,1,9.00,0,0,7*,2025
Shahbaz Ahmed,Lucknow Super Giants,3,9,8,2.0,112.5,1,0,1,0,9.00,0,0,9,2025
Wiaan Mulder,Sunrisers Hyderabad,1,9,11,5.0,81.81,1,0,1,0,9.00,0,0,9,2025
Wanindu Hasaranga,Rajasthan Royals,11,9,15,8.0,60.0,0,0,5,0,1.80,0,0,4,2025
Kwena Maphaka,Rajasthan Royals,2,8,2,0.0,400.0,2,0,0,1,-,0,0,8*,2025
Raj Angad Bawa,Mumbai Indians,3,8,4,0.0,200.0,0,0,0,1,-,0,0,8*,2025
Tushar Deshpande,Rajasthan Royals,10,7,8,3.0,87.5,0,0,1,3,7.00,0,0,3,2025
Suryansh Shedge,Punjab Kings,5,7,11,5.0,63.63,0,0,3,0,2.33,0,0,4,2025
Noor Ahmad,Chennai Super Kings,14,7,17,12.0,41.17,0,0,4,2,1.75,0,0,2*,2025
Akash Deep,Lucknow Super Giants,6,6,2,1.0,300.0,0,1,1,1,6.00,0,0,6*,2025
Sandeep Sharma,Rajasthan Royals,10,6,5,0.0,120.0,0,0,0,1,-,0,0,6*,2025
Mitchell Starc,Delhi Capitals,11,6,10,4.0,60.0,0,0,2,4,3.00,0,0,2*,2025
Robin Minz,Mumbai Indians,2,6,15,10.0,40.0,0,0,2,0,3.00,0,0,3,2025
Rovman Powell,Kolkata Knight Riders,2,5,5,3.0,100.0,1,0,1,0,5.00,0,0,5,2025
Sai Kishore,Gujarat Titans,15,5,10,5.0,50.0,0,0,3,0,1.67,0,0,3,2025
Prince Yadav,Lucknow Super Giants,6,5,10,5.0,50.0,0,0,0,2,-,0,0,4*,2025
Moeen Ali,Kolkata Knight Riders,6,5,14,9.0,35.71,0,0,2,0,2.50,0,0,5,2025
Lockie Ferguson,Punjab Kings,4,4,1,0.0,400.0,1,0,0,1,-,0,0,4*,2025
Akash Madhwal,Rajasthan Royals,4,4,9,5.0,44.44,0,0,0,1,-,0,0,4*,2025
Madhav Tiwari,Delhi Capitals,1,3,4,2.0,75.0,0,0,1,0,3.00,0,0,3,2025
Mohammed Siraj,Gujarat Titans,15,3,4,2.0,75.0,0,0,0,1,-,0,0,3*,2025
Kumar Kartikeya Singh,Rajasthan Royals,4,3,5,3.0,60.0,0,0,2,0,1.50,0,0,2,2025
Yash Dayal,Royal Challengers Bengaluru,14,3,7,5.0,42.85,0,0,2,0,1.50,0,0,3,2025
Simarjeet Singh,Sunrisers Hyderabad,4,3,7,4.0,42.85,0,0,2,1,1.50,0,0,3*,2025
Fazalhaq Farooqi,Rajasthan Royals,5,2,2,0.0,100.0,0,0,0,1,-,0,0,2*,2025
Trent Boult,Mumbai Indians,16,2,3,1.0,66.66,0,0,1,1,2.00,0,0,1*,2025
Spencer Johnson,Kolkata Knight Riders,4,2,4,2.0,50.0,0,0,0,2,-,0,0,1*,2025
Arshdeep Singh,Punjab Kings,16,2,6,4.0,33.33,0,0,1,1,2.00,0,0,1*,2025
Varun Chakaravarthy,Kolkata Knight Riders,13,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
V Satyanarayana Penmetsa,Mumbai Indians,2,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
Karn Sharma,Mumbai Indians,6,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
Khaleel Ahmed,Chennai Super Kings,14,1,2,1.0,50.0,0,0,0,2,-,0,0,1*,2025
Mohit Sharma,Delhi Capitals,8,1,3,2.0,33.33,0,0,1,1,1.00,0,0,1*,2025
Donovan Ferreira,Delhi Capitals,1,1,3,2.0,33.33,0,0,1,0,1.00,0,0,1,2025
Digvesh Singh,Lucknow Super Giants,13,1,3,2.0,33.33,0,0,1,1,1.00,0,0,1,2025
Manoj Bhandage,Royal Challengers Bengaluru,1,1,4,3.0,25.0,0,0,1,0,1.00,0,0,1,2025
